Build,Ascendancy,Açıklama
curr,,Güncel buildler veya mevcut geliştirme aşamasındaki build.
curr jugg rf new,Juggernaut,Yeni Righteous Fire (RF) buildi; yüksek savunma ve dayanıklılık için Juggernaut.
my stt stacker,,Self-Targeting Totems (STT) stacker; STT mekanizmasını kullanarak yüksek hasar çıkışı sağlar.
COC,,Cast on Critical Strike (CoC); kritik vuruşlarda belirli bir yeteneği tetikleyen bir mekanizma.
sst,,Spectral Shield Throw (SST); kalkanla hasar verme ve odaklanma üzerine bir build.
molten strike,,Molten Strike; yakın dövüşte ateş hasarı veren bir build.
coc fr,,Cast on Critical Strike (CoC) ile Righteous Fire (RF) buildi; kritik vuruşlarla RF'yi tetikleyerek hasar yapar.
mage skellys,Necromancer,Mage Skeletons; iskelet mage’lerden oluşan bir minion buildi.
zombie necro,Necromancer,Zombie Necromancer; zombilerle savaşan ve onları yöneten bir build.
aurabot,,Aurabot; müttefiklere çeşitli destek auraları sağlayan bir build.
ice trap,,Ice Trap; tuzaklar kullanarak düşmanlara hasar veren bir build.
poison,,Zehir tabanlı hasar; genellikle düşük mana harcaması ve yüksek zarar potansiyeli olan bir build.
tornado shot,,Tornado Shot; okçuluk yaparak geniş bir alana hasar verebilen bir build.
cws firestorm,,Cast while Sling (CwS) ile Firestorm; saldırı yaparken Firestorm yeteneğini otomatik olarak tetikleyen bir build.
reap inq,Inquisitor,Reap Inquisitor; yüksek hasar ve kritik vuruşlar yaparak Reap yeteneğini etkili bir şekilde kullanan bir build.
dark pact,,Dark Pact; kendi sağlığını feda ederek büyük hasar veren bir build.
spark,,Spark; elektriksel hasar vererek düşmanları hedefleyen bir build.
rf,,Righteous Fire (RF); yüksek ateş hasarı ve can tüketimiyle etkili bir build.
mf,,Magic Find (MF); düşmanlardan daha fazla eşyayı düşürme amacı güden bir build.
mf ts,,Magic Find (MF) ve Tornado Shot; hem MF hem de yüksek alan hasarı sağlayan bir okçuluk buildi.
sst w,,Shield Spectral Throw (SST); kalkan kullanarak Spectral Shield Throw yeteneğini etkili bir şekilde kullanan bir build.
slam,,Slam; genellikle büyük alanlı vuruşlar ve yüksek hasar verme odaklı bir build.
str stack,,Strength stacking; yüksek güce dayalı çeşitli yetenekler için güç yığınlama.
dd mf,,Dark Devotion (DD) ile Magic Find (MF); hem güçlü bir hasar hem de daha fazla eşya düşürme fırsatı sunar.
flicker v2,,Flicker Strike; düşmanlar arasında hızla geçiş yaparak yüksek hasar veren bir build.
baron zombie,,Baron Zombie; Baron kalkanını kullanarak güçlü zombiler yaratmak üzerine kurulu bir build.
spark inq mf,Inquisitor,Spark ve Magic Find (MF); Spark yeteneğiyle yüksek hasar verirken aynı zamanda eşyalar için MF sağlar.
str cyclone,,Strength tabanlı Cyclone; dönerken düşmanlara yüksek hasar veren bir build.
boneshatter,,Boneshatter; düşmanların savunmasını kırarak yüksek hasar veren bir build.
reapv2,Inquisitor,Reap Inquisitor; Reap yeteneğinin farklı bir versiyonu.
armor stacker,,Yüksek zırh tabanlı savunma buildi; zırhı artırarak düşman saldırılarına karşı dayanıklılığı artırır.
chaos zombies,Necromancer,Chaos tabanlı zombilerle yapılan bir build; zombi minyonlar üzerinde chaos hasarı uygular.
HOT,,Herald of Thunder; elektrik hasarını artıran ve lightning yetenekleri kullanan bir build.
